"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"14:54hrs Kerja penyelenggaraan Km 359.1 - Km 360.5 arah Selatan dari Sungkai ke Slim River. Lorong kanan ditutup. T… https://t.co/kIdIyfJr3J",FALSE,3,NA,2019-10-31 06:55:38,TRUE,NA,"1189798062664736768",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"14:45hrs Maklumat awal kemalangan Km 258 arah Utara dari Terowong Menora ke Kuala Kangsar. Trafik perlahan. Harap maklum. @LLMinfotrafik",FALSE,4,NA,2019-10-31 06:45:34,FALSE,NA,"1189795531704266752",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"14:34hrs Kemalangan kereta Km 125.9 arah Selatan dari Bertam ke Sungai Dua. Lorong kanan terhalang. Trafik perlahan… https://t.co/vXfuNckUxT",FALSE,1,NA,2019-10-31 06:36:01,TRUE,NA,"1189793125394370561",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"14:33hrs Kemalangan Km 125.9 arah Selatan dari Bertam ke Sungai Dua. Lorong kanan terhalang. Trafik perlahan. Pandu… https://t.co/bG0fhezUnX",FALSE,0,NA,2019-10-31 06:34:10,TRUE,NA,"1189792659730157570",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"14:28hrs Awas! Lori rosak Km 451.3 arah Selatan dari Rawang (S) ke Sungai Buloh Hospital. Lorong kiri terhalang. Tr… https://t.co/V1Nv6mcdj6",FALSE,0,NA,2019-10-31 06:28:56,TRUE,NA,"1189791342978682880",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"13:40hrs Status terkini, lorong kiri &amp; tengah telah dibuka. Insiden selesai &amp; trafik kembali lancar. Pandu cermat.… https://t.co/jWnDr8Rwxb",FALSE,1,NA,2019-10-31 05:41:46,TRUE,NA,"1189779475455545346",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"13:06hrs Kemalangan Km 459.3 arah Selatan dari Sungai Buloh ke Jalan Duta. Lorong kiri, Lorong tengah terhalang. Tr… https://t.co/g8MSlM5E2O",FALSE,1,NA,2019-10-31 05:06:39,TRUE,NA,"1189770636542918656",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
"https://t.co/HmPk5jEdrz",FALSE,1,NA,2019-10-31 04:58:13,FALSE,NA,"1189768517144334338",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","plustrafik",1,FALSE,FALSE,NA,NA
"12:23hrs Kerja penyelenggaraan km 32.6 - km 34.1 arah Utara dari Kulai ke Sedenak. Lorong kanan ditutup. Trafik per… https://t.co/wMUY175YSa",FALSE,1,NA,2019-10-31 04:23:39,TRUE,NA,"1189759817256067072",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",1,FALSE,FALSE,NA,NA
"12:03hrs Kerja penyelenggaraan Km 433 - Km 431.7 arah Utara dari Sungai Buaya ke Bukit Beruntung. Lorong kiri ditut… https://t.co/sOBytJQssw",FALSE,1,NA,2019-10-31 04:04:53,TRUE,NA,"1189755092058046464",NA,"<a href=""http://www.plus.com.my"" rel=""nofollow"">PLUS Website</a>","plustrafik",0,FALSE,FALSE,NA,NA
